Abkhaz	ab	abk
Afar	aa	aar
Afrikaans	af	afr
Akan	ak	aka
Albanian	sq	alb
Amharic	am	amh
Arabic	ar	ara
Aragonese	an	arg
Armenian	hy	arm
Assamese	as	asm
Avaric	av	ava
Avestan	ae	ave
Aymara	ay	aym
Azerbaijani	az	aze
Bambara	bm	bam
Bashkir	ba	bak
Basque	eu	baq
Belarusian	be	bel
Bengali, Bangla	bn	ben
Bihari	bh	bih
Bislama	bi	bis
Bosnian	bs	bos
Breton	br	bre
Bulgarian	bg	bul
Burmese	my	bur
Catalan	ca	cat
Chamorro	ch	cha
Chechen	ce	che
Chichewa, Chewa, Nyanja	ny	nya
Chinese	zh	chi
Chuvash	cv	chv
Cornish	kw	cor
Corsican	co	cos
Cree	cr	cre
Croatian	hr	hrv
Czech	cs	cze
Danish	da	dan
Divehi, Dhivehi, Maldivian	dv	div
Dutch	nl	dut
Dzongkha	dz	dzo
English	en	eng
Esperanto	eo	epo
Estonian	et	est
Ewe	ee	ewe
Faroese	fo	fao
Fijian	fj	fij
Finnish	fi	fin
French	fr	fre
Fula, Fulah, Pulaar, Pular	ff	ful
Galician	gl	glg
Georgian	ka	geo
German	de	ger
Greek (modern)	el	gre
Guaraní	gn	grn
Gujarati	gu	guj
Haitian, Haitian Creole	ht	hat
Hausa	ha	hau
Hebrew (modern)	he	heb
Herero	hz	her
Hindi	hi	hin
Hiri Motu	ho	hmo
Hungarian	hu	hun
Interlingua	ia	ina
Indonesian	id	ind
Interlingue	ie	ile
Irish	ga	gle
Igbo	ig	ibo
Inupiaq	ik	ipk
Ido	io	ido
Icelandic	is	ice
Italian	it	ita
Inuktitut	iu	iku
Japanese	ja	jpn
Javanese	jv	jav
Kalaallisut, Greenlandic	kl	kal
Kannada	kn	kan
Kanuri	kr	kau
Kashmiri	ks	kas
Kazakh	kk	kaz
Khmer	km	khm
Kikuyu, Gikuyu	ki	kik
Kinyarwanda	rw	kin
Kyrgyz	ky	kir
Komi	kv	kom
Kongo	kg	kon
Korean	ko	kor
Kurdish	ku	kur
Kwanyama, Kuanyama	kj	kua
Latin	la	lat		
Luxembourgish, Letzeburgesch	lb	ltz
Ganda	lg	lug
Limburgish, Limburgan, Limburger	li	lim
Lingala	ln	lin
Lao	lo	lao
Lithuanian	lt	lit
Luba-Katanga	lu	lub
Latvian	lv	lav
Manx	gv	glv
Macedonian	mk	mac
Malagasy	mg	mlg
Malay	ms	may
Malayalam	ml	mal
Maltese	mt	mlt
Maori	mi	mao
Marathi	mr	mar
Marshallese	mh	mah
Mongolian	mn	mon
Nauru	na	nau
Navajo, Navaho	nv	nav
Northern Ndebele	nd	nde
Nepali	ne	nep
Ndonga	ng	ndo
Norwegian Bokmål	nb	nob
Norwegian Nynorsk	nn	nno
Norwegian	no	nor
Nuosu	ii	iii
Southern Ndebele	nr	nbl
Occitan	oc	oci
Ojibwe, Ojibwa	oj	oji
Old Church Slavonic, Church Slavonic, Old Bulgarian	cu	chu
Oromo	om	orm
Oriya	or	ori
Ossetian, Ossetic	os	oss
Panjabi, Punjabi	pa	pan
Pali	pi	pli
Persian (Farsi)	fa	per
Polish	pl	pol
Pashto, Pushto	ps	pus
Portuguese	pt	por
Quechua	qu	que
Romansh	rm	roh
Kirundi	rn	run
Romanian	ro	rum
Russian	ru	rus
Sanskrit	sa	san
Sardinian	sc	srd
Sindhi	sd	snd
Northern Sami	se	sme
Samoan	sm	smo
Sango	sg	sag
Serbian	sr	srp
Scottish Gaelic, Gaelic	gd	gla
Shona	sn	sna
Sinhala, Sinhalese	si	sin
Slovak	sk	slo
Slovene	sl	slv
Somali	so	som
Southern Sotho	st	sot
Spanish	es	spa
Sundanese	su	sun
Swahili	sw	swa
Swati	ss	ssw
Swedish	sv	swe
Tamil	ta	tam
Telugu	te	tel
Tajik	tg	tgk
Thai	th	tha
Tigrinya	ti	tir
Tibetan Standard, Tibetan, Central	bo	tib
Turkmen	tk	tuk
Tagalog	tl	tgl
Tswana	tn	tsn
Tonga (Tonga Islands)	to	ton
Turkish	tr	tur
Tsonga	ts	tso
Tatar	tt	tat
Twi	tw	twi
Tahitian	ty	tah
Uyghur	ug	uig
Ukrainian	uk	ukr
Urdu	ur	urd
Uzbek	uz	uzb
Venda	ve	ven
Vietnamese	vi	vie
Volapük	vo	vol
Walloon	wa	wln
Welsh	cy	wel
Wolof	wo	wol
Western Frisian	fy	fry
Xhosa	xh	xho
Yiddish	yi	yid
Yoruba	yo	yor
Zhuang, Chuang	za	zha
Zulu	zu	zul
