"","absolute","balance","battery","centrality","coder","conc_complex","conc_simple","concept","country","dom_backgrou","dom_consumer","dom_european","dom_family","dom_health","dom_leisure","dom_other","dom_personal","dom_work","domain","dont_know","encourage","fixrefpoints","form_basic","gradation","highest_num","instr_interv","instr_respon","intpoldomain","intr_request","intropresent","item_admin","item_name","knowledge","labels","labels_gramm","labels_order","language","motivation","nabst_ans","nabst_quest","natpoldomain","ncategories","nfrequencies","nnouns_ans","nnouns_quest","nsents_intro","nsents_quest","nsub_quest","nsyll_ans","nsyll_quest","num_isents","numsub_intro","nwords_ans","nwords_intro","nwords_quest","opinionother","question","question_id","questiontype","ref_period","scal_neutral","scale_basic","scale_corres","scale_max","scale_trange","scale_urange","showc_boxes","showc_horiz","showc_letter","showc_over","showc_pict","showc_quest","showc_start","socdesir","stimulus","study","subjectiveop","symmetry","used_WH_word","usedshowcard","WH_word"
"3783",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,9,NA,NA,NA,14,2,0,7,2,1,NA,1,1,NA,NA,0,"A1","TVTOT",NA,3,0,1,"spa",0,1,2,NA,8,NA,1,4,NA,2,2,60,34,NA,NA,NA,NA,19,0,NA,7999,1,2,3,0,0,NA,0,NA,NA,0,0,1,0,0,0,1,0,"ESS Round 4",0,NA,1,1,9
"3784",0,0,NA,1,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,8,NA,NA,NA,14,2,0,7,2,1,NA,1,1,NA,NA,0,"A3","RDTOT",NA,3,0,1,"spa",0,1,2,NA,8,NA,1,4,NA,2,1,60,27,NA,NA,NA,NA,15,0,NA,8000,1,2,3,0,0,NA,0,NA,NA,0,0,1,0,0,0,0,0,"ESS Round 4",0,NA,1,1,9
"3785",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,7,NA,NA,NA,14,2,0,7,2,1,NA,1,1,NA,NA,0,"A5","NWSPTOT",NA,3,0,1,"spa",0,1,2,NA,8,NA,1,4,NA,2,1,60,31,NA,NA,NA,NA,18,0,NA,8001,1,2,3,0,0,NA,0,NA,NA,0,0,1,0,0,0,1,0,"ESS Round 4",0,NA,1,1,9
"3786",1,0,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,1,1,2,1,NA,1,1,NA,NA,0,"A8","PPLTRST",NA,2,1,1,"spa",0,2,2,NA,11,NA,2,4,NA,2,5,32,95,NA,NA,NA,NA,66,0,NA,8002,1,2,1,0,1,NA,1,0,0,1,1,0,0,0,0,1,1,"ESS Round 4",0,NA,0,1,NA
"3787",1,0,NA,1,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,0,2,1,NA,1,1,NA,NA,0,"A9","PPLFAIR",NA,2,1,1,"spa",0,2,2,NA,11,NA,2,3,NA,1,2,36,34,NA,NA,NA,NA,22,0,0,8003,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,1,"ESS Round 4",0,1,0,1,NA
"3788",0,0,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"B25","STFECO",NA,2,0,1,"spa",0,0,3,12,11,NA,0,4,NA,2,1,28,38,NA,NA,NA,NA,21,0,NA,8004,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,0,"ESS Round 4",0,1,1,1,9
"3789",0,0,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"B26","STFGOV",NA,2,0,1,"spa",0,0,3,1,11,NA,0,5,NA,2,1,28,52,NA,NA,NA,NA,26,0,NA,8005,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,0,"ESS Round 4",0,1,1,1,9
"3790",0,0,NA,2,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"B27","STFDEM",NA,2,0,1,"spa",0,0,5,3,11,NA,0,6,NA,2,1,28,41,NA,NA,NA,NA,22,0,NA,8006,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,0,"ESS Round 4",0,1,1,1,9
"3791",0,0,NA,2,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,1,1,NA,1,1,NA,NA,0,"B30","GINCDIF",NA,3,0,2,"spa",0,0,5,12,5,NA,0,8,NA,2,2,25,66,NA,NA,NA,NA,37,0,NA,8007,2,2,1,0,0,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",0,1,0,1,NA
"3792",0,NA,NA,3,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,0,NA,NA,0,0,NA,NA,0,"B31","FREEHMS",NA,3,0,2,"spa",0,0,1,20,5,NA,0,3,NA,1,0,19,19,NA,NA,NA,NA,12,NA,NA,8008,NA,2,1,0,0,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",NA,1,NA,1,NA
"3793",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,9,NA,NA,NA,14,2,0,NA,2,1,NA,1,1,NA,0,1,"HS1","testc1",3,NA,NA,NA,"spa",1,2,5,NA,NA,25,2,6,2,2,2,6,34,NA,3,NA,61,22,0,NA,8009,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ESS Round 4",0,NA,1,0,9
"3794",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,8,NA,NA,NA,14,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS2","testc2",NA,NA,NA,NA,"spa",0,2,4,NA,NA,25,2,5,NA,2,2,6,33,NA,NA,NA,NA,21,0,NA,8010,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ESS Round 4",0,NA,1,0,9
"3795",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,7,NA,NA,NA,14,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS3","testc3",NA,NA,NA,NA,"spa",0,2,4,NA,NA,25,2,5,NA,2,2,6,35,NA,NA,NA,NA,22,0,NA,8011,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ESS Round 4",0,NA,1,0,9
"3796",1,0,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS4","testc4",NA,NA,NA,NA,"spa",0,2,4,NA,NA,NA,2,5,NA,2,3,21,56,NA,NA,NA,NA,39,0,NA,8012,1,2,NA,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,NA,0,1,NA
"3797",1,0,NA,1,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS5","testc5",NA,NA,NA,NA,"spa",0,2,3,NA,NA,NA,2,4,NA,2,2,25,43,NA,NA,NA,NA,29,0,0,8013,1,2,NA,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,NA,0,1,NA
"3798",1,0,NA,1,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS6","testc6",NA,NA,NA,NA,"spa",0,2,4,NA,NA,NA,2,5,NA,2,2,18,42,NA,NA,NA,NA,28,0,NA,8014,1,2,NA,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,NA,0,1,NA
"3799",0,0,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,2,1,NA,1,1,NA,0,1,"HS7","testc7",NA,2,0,1,"spa",0,0,3,12,11,NA,0,4,1,2,2,20,55,NA,0,NA,12,29,0,NA,8015,1,2,1,0,1,NA,1,1,0,1,1,1,0,0,0,0,0,"ESS Round 4",0,1,1,1,8
"3800",0,0,NA,2,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,2,1,NA,1,1,NA,NA,0,"HS8","testc8",NA,2,0,1,"spa",0,0,4,1,11,NA,0,5,NA,2,1,20,50,NA,NA,NA,NA,25,0,NA,8016,1,2,1,0,1,NA,1,1,0,1,1,1,0,0,0,0,0,"ESS Round 4",0,1,1,1,8
"3801",0,0,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,2,1,NA,1,1,NA,NA,0,"HS9","testc9",NA,2,0,1,"spa",0,0,5,3,11,NA,0,6,NA,2,2,20,39,NA,NA,NA,NA,21,0,NA,8017,1,2,1,0,1,NA,1,1,0,1,1,1,0,0,0,0,0,"ESS Round 4",0,1,1,1,8
"3802",0,1,NA,1,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,2,1,NA,1,1,NA,NA,0,"HS10","testc10",NA,3,1,1,"spa",0,1,5,12,5,NA,1,7,NA,2,1,33,48,NA,NA,NA,NA,28,0,NA,8018,1,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,0,1,"ESS Round 4",1,1,0,1,NA
"3803",0,1,NA,1,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,2,1,NA,1,1,NA,NA,0,"HS11","testc11",NA,3,1,2,"spa",0,1,1,20,5,NA,1,5,NA,2,1,33,43,NA,NA,NA,NA,25,0,NA,8019,1,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,1,0,1,NA
"3804",0,1,NA,1,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,2,1,NA,1,1,NA,NA,0,"HS12","testc12",NA,3,1,1,"spa",0,1,4,20,5,NA,1,6,NA,2,2,33,54,NA,NA,NA,NA,32,0,NA,8020,1,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,1,0,1,NA
"3805",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,7,NA,NA,NA,14,2,0,1,2,1,NA,1,1,NA,0,1,"HS13","testc13",3,3,0,1,"spa",1,0,2,NA,7,NA,0,3,2,1,1,13,21,NA,3,NA,61,12,0,NA,8021,1,2,3,0,1,NA,0,NA,NA,0,0,1,0,0,0,1,0,"ESS Round 4",0,NA,1,1,9
