"study","item","country","language","user_id","short_name","choice"
"ESS Round 5","prvtvio","SF","eng","38","question","0"
"ESS Round 5","prvtvio","SF","eng","38","domain","7"
"ESS Round 5","prvtvio","SF","eng","38","dom_work","5"
"ESS Round 5","prvtvio","SF","eng","38","concept","4"
"ESS Round 5","prvtvio","SF","eng","38","socdesir","1"
"ESS Round 5","prvtvio","SF","eng","38","centrality","2"
"ESS Round 5","prvtvio","SF","eng","38","ref_period","2"
"ESS Round 5","prvtvio","SF","eng","38","form_basic","2"
"ESS Round 5","prvtvio","SF","eng","38","used_WH_word","0"
"ESS Round 5","prvtvio","SF","eng","38","questiontype","2"
"ESS Round 5","prvtvio","SF","eng","38","gradation","1"
"ESS Round 5","prvtvio","SF","eng","38","balance","1"
"ESS Round 5","prvtvio","SF","eng","38","encourage","0"
"ESS Round 5","prvtvio","SF","eng","38","subjectiveop","0"
"ESS Round 5","prvtvio","SF","eng","38","opinionother","0"
"ESS Round 5","prvtvio","SF","eng","38","stimulus","0"
"ESS Round 5","prvtvio","SF","eng","38","absolute","0"
"ESS Round 5","prvtvio","SF","eng","38","scale_basic","0"
"ESS Round 5","prvtvio","SF","eng","38","ncategories","0"
"ESS Round 5","prvtvio","SF","eng","38","labels","2"
"ESS Round 5","prvtvio","SF","eng","38","labels_gramm","0"
"ESS Round 5","prvtvio","SF","eng","38","labels_order","2"
"ESS Round 5","prvtvio","SF","eng","38","scale_corres","2"
"ESS Round 5","prvtvio","SF","eng","38","scale_trange","1"
"ESS Round 5","prvtvio","SF","eng","38","scale_urange","1"
"ESS Round 5","prvtvio","SF","eng","38","symmetry","0"
"ESS Round 5","prvtvio","SF","eng","38","scal_neutral","3"
"ESS Round 5","prvtvio","SF","eng","38","fixrefpoints","0"
"ESS Round 5","prvtvio","SF","eng","38","dont_know","1"
"ESS Round 5","prvtvio","SF","eng","38","instr_interv","0"
"ESS Round 5","prvtvio","SF","eng","38","instr_respon","0"
"ESS Round 5","prvtvio","SF","eng","38","motivation","0"
"ESS Round 5","prvtvio","SF","eng","38","intropresent","0"
"ESS Round 5","prvtvio","SF","eng","38","nsents_quest","0"
"ESS Round 5","prvtvio","SF","eng","38","nwords_quest","0"
"ESS Round 5","prvtvio","SF","eng","38","nnouns_quest","0"
"ESS Round 5","prvtvio","SF","eng","38","nabst_quest","0"
"ESS Round 5","prvtvio","SF","eng","38","nsyll_quest","0"
"ESS Round 5","prvtvio","SF","eng","38","nsub_quest","0"
"ESS Round 5","prvtvio","SF","eng","38","nsyll_ans","0"
"ESS Round 5","prvtvio","SF","eng","38","nnouns_ans","0"
"ESS Round 5","prvtvio","SF","eng","38","nabst_ans","0"
"ESS Round 5","prvtvio","SF","eng","38","usedshowcard","1"
"ESS Round 5","prvtvio","SF","eng","5","WH_word","10"
"ESS Round 5","prvtvio","SF","eng","5","absolute","0"
"ESS Round 5","prvtvio","SF","eng","5","balance","1"
"ESS Round 5","prvtvio","SF","eng","5","centrality","0"
"ESS Round 5","prvtvio","SF","eng","5","concept","7"
"ESS Round 5","prvtvio","SF","eng","5","conc_simple","3"
"ESS Round 5","prvtvio","SF","eng","5","scale_corres","1"
"ESS Round 5","prvtvio","SF","eng","5","domain","1"
"ESS Round 5","prvtvio","SF","eng","5","natpoldomain","3"
"ESS Round 5","prvtvio","SF","eng","5","dom_other","9"
"ESS Round 5","prvtvio","SF","eng","5","dont_know","2"
"ESS Round 5","prvtvio","SF","eng","5","subjectiveop","1"
"ESS Round 5","prvtvio","SF","eng","5","motivation","1"
"ESS Round 5","prvtvio","SF","eng","5","form_basic","2"
"ESS Round 5","prvtvio","SF","eng","5","showc_horiz","1"
"ESS Round 5","prvtvio","SF","eng","5","opinionother","0"
"ESS Round 5","prvtvio","SF","eng","5","instr_interv","1"
"ESS Round 5","prvtvio","SF","eng","5","intropresent","0"
"ESS Round 5","prvtvio","SF","eng","5","knowledge","3"
"ESS Round 5","prvtvio","SF","eng","5","labels","2"
"ESS Round 5","prvtvio","SF","eng","5","labels_gramm","0"
"ESS Round 5","prvtvio","SF","eng","5","scal_neutral","1"
"ESS Round 5","prvtvio","SF","eng","5","ncategories","11"
"ESS Round 5","prvtvio","SF","eng","5","fixrefpoints","3"
"ESS Round 5","prvtvio","SF","eng","5","nsents_quest","2"
"ESS Round 5","prvtvio","SF","eng","5","nsub_quest","2"
"ESS Round 5","prvtvio","SF","eng","5","nsyll_ans","24"
"ESS Round 5","prvtvio","SF","eng","5","nwords_quest","45"
"ESS Round 5","prvtvio","SF","eng","5","showc_letter","1"
"ESS Round 5","prvtvio","SF","eng","5","labels_order","1"
"ESS Round 5","prvtvio","SF","eng","5","showc_over","0"
"ESS Round 5","prvtvio","SF","eng","5","showc_pict","0"
"ESS Round 5","prvtvio","SF","eng","5","encourage","0"
"ESS Round 5","prvtvio","SF","eng","5","showc_quest","0"
"ESS Round 5","prvtvio","SF","eng","5","question","0"
"ESS Round 5","prvtvio","SF","eng","5","scale_urange","1"
"ESS Round 5","prvtvio","SF","eng","5","ref_period","2"
"ESS Round 5","prvtvio","SF","eng","5","questiontype","1"
"ESS Round 5","prvtvio","SF","eng","5","instr_respon","1"
"ESS Round 5","prvtvio","SF","eng","5","scale_basic","0"
"ESS Round 5","prvtvio","SF","eng","5","showc_boxes","0"
"ESS Round 5","prvtvio","SF","eng","5","usedshowcard","1"
"ESS Round 5","prvtvio","SF","eng","5","socdesir","0"
"ESS Round 5","prvtvio","SF","eng","5","showc_start","0"
"ESS Round 5","prvtvio","SF","eng","5","symmetry","1"
"ESS Round 5","prvtvio","SF","eng","5","scale_trange","1"
"ESS Round 5","prvtvio","SF","eng","5","nabst_ans","0"
"ESS Round 5","prvtvio","SF","eng","5","nabst_quest","3"
"ESS Round 5","prvtvio","SF","eng","5","nnouns_ans","0"
"ESS Round 5","prvtvio","SF","eng","5","nnouns_quest","6"
"ESS Round 5","prvtvio","SF","eng","5","nsyll_quest","67"
"ESS Round 5","prvtvio","SF","eng","5","gradation","1"
"ESS Round 5","prvtvio","SF","eng","5","stimulus","0"
"ESS Round 5","prvtvio","SF","eng","5","used_WH_word","1"
"ESS Round 5","prvtvio","SF","eng","8","WH_word","10"
"ESS Round 5","prvtvio","SF","eng","8","absolute","0"
"ESS Round 5","prvtvio","SF","eng","8","balance","0"
"ESS Round 5","prvtvio","SF","eng","8","centrality","0"
"ESS Round 5","prvtvio","SF","eng","8","concept","7"
"ESS Round 5","prvtvio","SF","eng","8","conc_simple","3"
"ESS Round 5","prvtvio","SF","eng","8","scale_corres","1"
"ESS Round 5","prvtvio","SF","eng","8","domain","1"
"ESS Round 5","prvtvio","SF","eng","8","natpoldomain","3"
"ESS Round 5","prvtvio","SF","eng","8","dom_other","9"
"ESS Round 5","prvtvio","SF","eng","8","dont_know","2"
"ESS Round 5","prvtvio","SF","eng","8","subjectiveop","1"
"ESS Round 5","prvtvio","SF","eng","8","motivation","1"
"ESS Round 5","prvtvio","SF","eng","8","form_basic","2"
"ESS Round 5","prvtvio","SF","eng","8","showc_horiz","1"
"ESS Round 5","prvtvio","SF","eng","8","opinionother","0"
"ESS Round 5","prvtvio","SF","eng","8","instr_interv","1"
"ESS Round 5","prvtvio","SF","eng","8","intropresent","0"
"ESS Round 5","prvtvio","SF","eng","8","knowledge","2"
"ESS Round 5","prvtvio","SF","eng","8","labels","2"
"ESS Round 5","prvtvio","SF","eng","8","labels_gramm","0"
"ESS Round 5","prvtvio","SF","eng","8","scal_neutral","1"
"ESS Round 5","prvtvio","SF","eng","8","ncategories","11"
"ESS Round 5","prvtvio","SF","eng","8","fixrefpoints","3"
"ESS Round 5","prvtvio","SF","eng","8","nsents_quest","2"
"ESS Round 5","prvtvio","SF","eng","8","nsub_quest","6"
"ESS Round 5","prvtvio","SF","eng","8","nsyll_ans","47"
"ESS Round 5","prvtvio","SF","eng","8","nwords_quest","45"
"ESS Round 5","prvtvio","SF","eng","8","showc_letter","1"
"ESS Round 5","prvtvio","SF","eng","8","labels_order","1"
"ESS Round 5","prvtvio","SF","eng","8","showc_over","0"
"ESS Round 5","prvtvio","SF","eng","8","showc_pict","0"
"ESS Round 5","prvtvio","SF","eng","8","encourage","0"
"ESS Round 5","prvtvio","SF","eng","8","showc_quest","0"
"ESS Round 5","prvtvio","SF","eng","8","question","0"
"ESS Round 5","prvtvio","SF","eng","8","scale_urange","1"
"ESS Round 5","prvtvio","SF","eng","8","ref_period","2"
"ESS Round 5","prvtvio","SF","eng","8","questiontype","1"
"ESS Round 5","prvtvio","SF","eng","8","instr_respon","1"
"ESS Round 5","prvtvio","SF","eng","8","scale_basic","0"
"ESS Round 5","prvtvio","SF","eng","8","showc_boxes","0"
"ESS Round 5","prvtvio","SF","eng","8","usedshowcard","1"
"ESS Round 5","prvtvio","SF","eng","8","socdesir","0"
"ESS Round 5","prvtvio","SF","eng","8","showc_start","0"
"ESS Round 5","prvtvio","SF","eng","8","symmetry","1"
"ESS Round 5","prvtvio","SF","eng","8","scale_trange","1"
"ESS Round 5","prvtvio","SF","eng","8","nabst_ans","0"
"ESS Round 5","prvtvio","SF","eng","8","nabst_quest","5"
"ESS Round 5","prvtvio","SF","eng","8","nnouns_ans","0"
"ESS Round 5","prvtvio","SF","eng","8","nnouns_quest","7"
"ESS Round 5","prvtvio","SF","eng","8","nsyll_quest","67"
"ESS Round 5","prvtvio","SF","eng","8","gradation","1"
"ESS Round 5","prvtvio","SF","eng","8","stimulus","0"
"ESS Round 5","prvtvio","SF","eng","8","used_WH_word","1"
"ESS Round 5","prvtvio","SS","eng","8","question","0"
"ESS Round 5","prvtvio","SS","eng","8","domain","1"
"ESS Round 5","prvtvio","SS","eng","8","natpoldomain","3"
"ESS Round 5","prvtvio","SS","eng","8","concept","7"
"ESS Round 5","prvtvio","SS","eng","8","socdesir","0"
"ESS Round 5","prvtvio","SS","eng","8","centrality","0"
"ESS Round 5","prvtvio","SS","eng","8","ref_period","2"
"ESS Round 5","prvtvio","SS","eng","8","form_basic","2"
"ESS Round 5","prvtvio","SS","eng","8","used_WH_word","1"
"ESS Round 5","prvtvio","SS","eng","8","WH_word","10"
"ESS Round 5","prvtvio","SS","eng","8","questiontype","1"
"ESS Round 5","prvtvio","SS","eng","8","gradation","1"
"ESS Round 5","prvtvio","SS","eng","8","balance","0"
"ESS Round 5","prvtvio","SS","eng","8","encourage","0"
"ESS Round 5","prvtvio","SS","eng","8","subjectiveop","1"
"ESS Round 5","prvtvio","SS","eng","8","opinionother","0"
"ESS Round 5","prvtvio","SS","eng","8","stimulus","0"
"ESS Round 5","prvtvio","SS","eng","8","absolute","0"
"ESS Round 5","prvtvio","SS","eng","8","scale_basic","0"
"ESS Round 5","prvtvio","SS","eng","8","ncategories","11"
"ESS Round 5","prvtvio","SS","eng","8","labels","2"
"ESS Round 5","prvtvio","SS","eng","8","labels_gramm","0"
"ESS Round 5","prvtvio","SS","eng","8","labels_order","1"
"ESS Round 5","prvtvio","SS","eng","8","scale_corres","1"
"ESS Round 5","prvtvio","SS","eng","8","scale_trange","1"
"ESS Round 5","prvtvio","SS","eng","8","scale_urange","1"
"ESS Round 5","prvtvio","SS","eng","8","symmetry","1"
"ESS Round 5","prvtvio","SS","eng","8","scal_neutral","1"
"ESS Round 5","prvtvio","SS","eng","8","fixrefpoints","3"
"ESS Round 5","prvtvio","SS","eng","8","dont_know","2"
"ESS Round 5","prvtvio","SS","eng","8","instr_interv","1"
"ESS Round 5","prvtvio","SS","eng","8","instr_respon","1"
"ESS Round 5","prvtvio","SS","eng","8","motivation","1"
"ESS Round 5","prvtvio","SS","eng","8","knowledge","2"
"ESS Round 5","prvtvio","SS","eng","8","intropresent","0"
"ESS Round 5","prvtvio","SS","eng","8","nsents_quest","2"
"ESS Round 5","prvtvio","SS","eng","8","nwords_quest","45"
"ESS Round 5","prvtvio","SS","eng","8","nnouns_quest","7"
"ESS Round 5","prvtvio","SS","eng","8","nabst_quest","5"
"ESS Round 5","prvtvio","SS","eng","8","nsyll_quest","67"
"ESS Round 5","prvtvio","SS","eng","8","nsub_quest","6"
"ESS Round 5","prvtvio","SS","eng","8","nsyll_ans","47"
"ESS Round 5","prvtvio","SS","eng","8","nnouns_ans","0"
"ESS Round 5","prvtvio","SS","eng","8","nabst_ans","0"
"ESS Round 5","prvtvio","SS","eng","8","usedshowcard","1"
"ESS Round 5","prvtvio","SS","eng","8","showc_horiz","1"
"ESS Round 5","prvtvio","SS","eng","8","showc_over","0"
"ESS Round 5","prvtvio","SS","eng","8","showc_letter","1"
"ESS Round 5","prvtvio","SS","eng","8","showc_boxes","0"
"ESS Round 5","prvtvio","SS","eng","8","showc_start","0"
"ESS Round 5","prvtvio","SS","eng","8","showc_quest","0"
"ESS Round 5","prvtvio","SS","eng","8","showc_pict","0"
"ESS Round 5","prvtvio","SS","eng","5","question","0"
"ESS Round 5","prvtvio","SS","eng","5","domain","1"
"ESS Round 5","prvtvio","SS","eng","5","dom_other","9"
"ESS Round 5","prvtvio","SS","eng","5","concept","7"
"ESS Round 5","prvtvio","SS","eng","5","conc_simple","3"
"ESS Round 5","prvtvio","SS","eng","5","socdesir","0"
"ESS Round 5","prvtvio","SS","eng","5","centrality","0"
"ESS Round 5","prvtvio","SS","eng","5","ref_period","2"
"ESS Round 5","prvtvio","SS","eng","5","form_basic","2"
"ESS Round 5","prvtvio","SS","eng","5","used_WH_word","1"
"ESS Round 5","prvtvio","SS","eng","5","WH_word","10"
"ESS Round 5","prvtvio","SS","eng","5","questiontype","1"
"ESS Round 5","prvtvio","SS","eng","5","gradation","1"
"ESS Round 5","prvtvio","SS","eng","5","balance","1"
"ESS Round 5","prvtvio","SS","eng","5","encourage","0"
"ESS Round 5","prvtvio","SS","eng","5","subjectiveop","1"
"ESS Round 5","prvtvio","SS","eng","5","opinionother","0"
"ESS Round 5","prvtvio","SS","eng","5","stimulus","0"
"ESS Round 5","prvtvio","SS","eng","5","absolute","0"
"ESS Round 5","prvtvio","SS","eng","5","scale_basic","0"
"ESS Round 5","prvtvio","SS","eng","5","ncategories","11"
"ESS Round 5","prvtvio","SS","eng","5","labels","2"
"ESS Round 5","prvtvio","SS","eng","5","labels_gramm","0"
"ESS Round 5","prvtvio","SS","eng","5","labels_order","1"
"ESS Round 5","prvtvio","SS","eng","5","scale_corres","1"
"ESS Round 5","prvtvio","SS","eng","5","scale_trange","1"
"ESS Round 5","prvtvio","SS","eng","5","scale_urange","1"
"ESS Round 5","prvtvio","SS","eng","5","symmetry","1"
"ESS Round 5","prvtvio","SS","eng","5","scal_neutral","1"
"ESS Round 5","prvtvio","SS","eng","5","fixrefpoints","3"
"ESS Round 5","prvtvio","SS","eng","5","dont_know","2"
"ESS Round 5","prvtvio","SS","eng","5","instr_interv","1"
"ESS Round 5","prvtvio","SS","eng","5","instr_respon","1"
"ESS Round 5","prvtvio","SS","eng","5","motivation","1"
"ESS Round 5","prvtvio","SS","eng","5","knowledge","3"
"ESS Round 5","prvtvio","SS","eng","5","intropresent","0"
"ESS Round 5","prvtvio","SS","eng","5","nsents_quest","2"
"ESS Round 5","prvtvio","SS","eng","5","nwords_quest","45"
"ESS Round 5","prvtvio","SS","eng","5","nnouns_quest","6"
"ESS Round 5","prvtvio","SS","eng","5","nabst_quest","3"
"ESS Round 5","prvtvio","SS","eng","5","nsyll_quest","67"
"ESS Round 5","prvtvio","SS","eng","5","nsub_quest","2"
"ESS Round 5","prvtvio","SS","eng","5","nsyll_ans","24"
"ESS Round 5","prvtvio","SS","eng","5","nnouns_ans","0"
"ESS Round 5","prvtvio","SS","eng","5","nabst_ans","0"
"ESS Round 5","prvtvio","SS","eng","5","usedshowcard","1"
"ESS Round 5","prvtvio","SS","eng","5","showc_horiz","1"
"ESS Round 5","prvtvio","SS","eng","5","showc_over","0"
"ESS Round 5","prvtvio","SS","eng","5","showc_letter","1"
"ESS Round 5","prvtvio","SS","eng","5","showc_boxes","0"
"ESS Round 5","prvtvio","SS","eng","5","showc_start","0"
"ESS Round 5","prvtvio","SS","eng","5","showc_quest","0"
"ESS Round 5","prvtvio","SS","eng","5","showc_pict","0"
"ESS Round 5","prvtvio","SS","eng","8","dom_other","9"
"ESS Round 5","prvtvio","SS","eng","8","conc_simple","3"
"ESS Round 5","prvtvio","SS","eng","5","natpoldomain","3"
"ESS Round 5","prvtvio","GR","ell","53","question","0"
"ESS Round 5","prvtvio","GR","ell","53","ref_period","2"
"ESS Round 5","prvtvio","GR","ell","53","form_basic","1"
"ESS Round 5","prvtvio","GR","ell","53","used_WH_word","1"
"ESS Round 5","prvtvio","GR","ell","53","WH_word","8"
"ESS Round 5","prvtvio","GR","ell","53","questiontype","2"
"ESS Round 5","prvtvio","GR","ell","53","gradation","1"
"ESS Round 5","prvtvio","GR","ell","53","balance","0"
"ESS Round 5","prvtvio","GR","ell","53","encourage","1"
"ESS Round 5","prvtvio","GR","ell","53","subjectiveop","1"
"ESS Round 5","prvtvio","GR","ell","53","opinionother","0"
"ESS Round 5","prvtvio","GR","ell","53","stimulus","0"
"ESS Round 5","prvtvio","GR","ell","53","absolute","0"
"ESS Round 5","prvtvio","GR","ell","53","socdesir","0"
"ESS Round 5","prvtvio","GR","ell","53","centrality","2"
"ESS Round 5","prvtvio","GR","ell","53","scale_basic","0"
"ESS Round 5","prvtvio","GR","ell","53","ncategories","11"
"ESS Round 5","prvtvio","GR","ell","53","labels","2"
"ESS Round 5","prvtvio","GR","ell","53","labels_gramm","0"
"ESS Round 5","prvtvio","GR","ell","53","labels_order","1"
"ESS Round 5","prvtvio","GR","ell","53","scale_corres","2"
"ESS Round 5","prvtvio","GR","ell","53","scale_trange","1"
"ESS Round 5","prvtvio","GR","ell","53","scale_urange","1"
"ESS Round 5","prvtvio","GR","ell","53","scal_neutral","3"
"ESS Round 5","prvtvio","GR","ell","53","fixrefpoints","2"
"ESS Round 5","prvtvio","GR","ell","53","dont_know","2"
"ESS Round 5","prvtvio","GR","ell","53","instr_interv","0"
"ESS Round 5","prvtvio","GR","ell","53","instr_respon","1"
"ESS Round 5","prvtvio","GR","ell","53","motivation","1"
"ESS Round 5","prvtvio","GR","ell","53","intropresent","0"
"ESS Round 5","prvtvio","GR","ell","53","nsents_quest","2"
"ESS Round 5","prvtvio","GR","ell","53","nwords_quest","44"
"ESS Round 5","prvtvio","GR","ell","53","nnouns_quest","7"
"ESS Round 5","prvtvio","GR","ell","53","nabst_quest","6"
"ESS Round 5","prvtvio","GR","ell","53","nsyll_quest","120"
"ESS Round 5","prvtvio","GR","ell","53","nsub_quest","7"
"ESS Round 5","prvtvio","GR","ell","53","nsyll_ans","22"
"ESS Round 5","prvtvio","GR","ell","53","nnouns_ans","0"
"ESS Round 5","prvtvio","GR","ell","53","nabst_ans","0"
"ESS Round 5","prvtvio","GR","ell","53","usedshowcard","1"
"ESS Round 5","prvtvio","GR","ell","53","showc_horiz","1"
"ESS Round 5","prvtvio","GR","ell","53","showc_over","0"
"ESS Round 5","prvtvio","GR","ell","53","showc_letter","1"
"ESS Round 5","prvtvio","GR","ell","53","showc_boxes","0"
"ESS Round 5","prvtvio","GR","ell","53","showc_start","0"
"ESS Round 5","prvtvio","GR","ell","53","showc_quest","0"
"ESS Round 5","prvtvio","GR","ell","53","showc_pict","0"
"ESS Round 5","prvtvio","GR","ell","53","symmetry","1"
"ESS Round 5","prvtvio","GR","ell","53","knowledge","1"
"ESS Round 5","prvtvio","IL","heb","56","question","0"
"ESS Round 5","prvtvio","IL","heb","56","ref_period","2"
"ESS Round 5","prvtvio","IL","heb","56","form_basic","2"
"ESS Round 5","prvtvio","IL","heb","56","used_WH_word","1"
"ESS Round 5","prvtvio","IL","heb","56","WH_word","10"
"ESS Round 5","prvtvio","IL","heb","56","questiontype","1"
"ESS Round 5","prvtvio","IL","heb","56","gradation","1"
"ESS Round 5","prvtvio","IL","heb","56","balance","0"
"ESS Round 5","prvtvio","IL","heb","56","encourage","0"
"ESS Round 5","prvtvio","IL","heb","56","subjectiveop","1"
"ESS Round 5","prvtvio","IL","heb","56","opinionother","0"
"ESS Round 5","prvtvio","IL","heb","56","stimulus","0"
"ESS Round 5","prvtvio","IL","heb","56","absolute","0"
"ESS Round 5","prvtvio","IL","heb","56","socdesir","1"
"ESS Round 5","prvtvio","IL","heb","56","centrality","2"
"ESS Round 5","prvtvio","IL","heb","56","scale_basic","0"
"ESS Round 5","prvtvio","IL","heb","56","ncategories","11"
"ESS Round 5","prvtvio","IL","heb","56","labels","2"
"ESS Round 5","prvtvio","IL","heb","56","labels_gramm","0"
"ESS Round 5","prvtvio","IL","heb","56","labels_order","1"
"ESS Round 5","prvtvio","IL","heb","56","scale_corres","1"
"ESS Round 5","prvtvio","IL","heb","56","scale_trange","1"
"ESS Round 5","prvtvio","IL","heb","56","fixrefpoints","3"
"ESS Round 5","prvtvio","IL","heb","56","dont_know","2"
"ESS Round 5","prvtvio","IL","heb","56","instr_interv","0"
"ESS Round 5","prvtvio","IL","heb","56","instr_respon","1"
"ESS Round 5","prvtvio","IL","heb","56","motivation","1"
"ESS Round 5","prvtvio","IL","heb","56","intropresent","0"
"ESS Round 5","prvtvio","IL","heb","56","nsents_quest","2"
"ESS Round 5","prvtvio","IL","heb","56","nwords_quest","45"
"ESS Round 5","prvtvio","IL","heb","56","nnouns_quest","5"
"ESS Round 5","prvtvio","IL","heb","56","nabst_quest","2"
