"","study","item_name","country","language","absolute","balance","centrality","dont_know","encourage","fixrefpoints","form_basic","gradation","instr_interv","instr_respon","intr_request","intropresent","knowledge","labels","labels_gramm","labels_order","motivation","ncategories","nfrequencies","nsub_quest","numsub_intro","nwords_intro","opinionother","questiontype","ref_period","scal_neutral","scale_basic","scale_corres","scale_trange","scale_urange","showc_boxes","showc_horiz","showc_letter","showc_over","showc_quest","showc_start","socdesir","stimulus","subjectiveop","symmetry","used_WH_word","usedshowcard","concept","domain","range.correspondence","nsyll_total","nwords_total","avgsy_total","nabst_total","nnouns_total","avgwrd_total","avgwrd_intro","avgabs_total","supplementary","position","computer.assisted","interviewer","visual","rel.est","rel.se","rel.lo","rel.est.orig","rel.hi","round.x","val.est","val.se","val.lo","val.est.orig","val.hi","round.y"
"1","ESS Round 1","gincdif","AT","deu",0,0,3,2,0,1,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,1,1,0,3,1,1,0,0,1,1,1,0,1,1,0,1,0,1,76,112,3,23,9,2.55555555555556,3,3,9,0,1,0,53,0,1,1,1.66138757513032,0.102659370819866,0.810930676635,0.840424180581843,0.866076710672603,"1",2.36728680945031,0.207011901751656,0.875802003727217,0.914298502605233,0.941657489472037,"1"
"2","ESS Round 1","gincdif","BE","fra",0,0,3,2,0,3,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,76,112,3,22,12,1.83333333333333,4,4,12,0,1,0,53,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ESS Round 1","gincdif","BE","nld",NA,0,3,NA,0,0,NA,0,NA,NA,0,0,0,1,0,0,NA,NA,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,NA,NA,NA,NA,25,10,2.5,3,3,10,0,1,0,53,0,1,NA,0.72414397723711,0.102659370819866,0.626873026099271,0.673518895554623,0.716966270089215,"1",3.77953386651243,0.207011901751656,0.966609077309042,0.97767639007836,0.985131901573762,"1"
"4","ESS Round 1","gincdif","CH","deu",0,0,3,2,0,1,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,76,112,3,22,10,2.2,3,3,10,0,1,0,53,1,1,1,1.16806632172665,0.102659370819866,0.723671579050654,0.762795316458067,0.797926510968744,"1",4.16117471497251,0.207011901751656,0.976958582730189,0.984650059564552,0.989800841325087,"1"
"5","ESS Round 1","gincdif","CH","fra",0,0,3,2,0,3,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,1,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,76,101,3,22,12,1.83333333333333,4,4,12,0,1,0,53,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ESS Round 1","gincdif","CH","ita",NA,0,3,NA,0,0,NA,0,NA,NA,0,0,0,1,0,0,NA,NA,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,NA,NA,NA,NA,32,14,2.28571428571429,4,4,14,0,1,0,53,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ESS Round 1","gincdif","CZ","ces",0,0,1,2,0,3,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,2,1,0,3,1,1,NA,0,0,1,0,0,1,1,0,1,0,1,76,112,3,51,11,4.63636363636364,6,6,11,0,1,0,53,0,1,1,2.30796448219219,0.102659370819866,0.891160064947571,0.909534509427685,0.925067792818042,"1",3.82604203903711,0.207011901751656,0.968078030910742,0.978669208080154,0.985797960474853,"1"
"8","ESS Round 1","gincdif","DE","deu",0,0,3,2,0,1,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,2,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,1,76,112,3,22,9,2.44444444444444,3,3,9,0,1,0,53,1,1,1,0.571767486621799,0.102659370819866,0.590600592123279,0.639170913353844,0.685051789919704,"1",3.77953386651243,0.207011901751656,0.966609077309042,0.97767639007836,0.985131901573762,"1"
"9","ESS Round 1","gincdif","DK","dan",0,0,2,2,0,1,0,0,0,0,0,0,0,3,0,2,0,5,NA,0,0,0,NA,0,1,1,0,3,1,1,0,0,1,1,0,0,1,1,0,1,0,1,76,112,3,50,10,5,0,3,10,0,0,0,53,1,1,1,1.50149599203271,0.102659370819866,0.785190917573297,0.817797492103675,0.846422683983911,"1",4.56277605459526,0.207011901751656,0.984461167669616,0.989674668786321,0.99315113466226,"1"
"10","ESS Round 1","gincdif","ES","cat",0,0,3,2,0,1,0,0,0,0,0,0,0,3,0,2,0,5,NA,1,0,0,NA,0,1,1,0,0,1,1,NA,0,0,1,0,0,2,1,0,1,0,1,76,112,3,45,14,3.21428571428571,5,5,14,0,1,0,53,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
