"","absolute","avgabs_intro","avgabs_total","avgsy_total","avgwrd_intro","avgwrd_total","balance","centrality","comp_assist","concept","country","domain","dont_know","encourage","fixrefpoints","form_basic","future","gradation","instr_interv","instr_respon","interviewer","intr_request","intropresent","item_name","knowledge","labels","labels_gramm","labels_order","language","method","motivation","nabst_intro","nabst_total","ncategories","nfrequencies","nnouns_intro","nnouns_total","nsub_quest","nsyll_total","numsub_intro","nwords_intro","nwords_total","opinionother","past","position","questiontype","range.correspondence","rel","rel.est","rel.est.orig","rel.hi","rel.lo","rel.se","repetition","round.x","round.y","scal_neutral","scale_basic","scale_corres","scale_trange","scale_urange","showc_boxes","showc_horiz","showc_letter","showc_over","showc_quest","showc_start","socdesir","stimulus","study","subjectiveop","symmetry","used_WH_word","usedshowcard","val","val.est","val.est.orig","val.hi","val.lo","val.se","visual","from"
"2461",0,1,1,1.92307692307692,11,13,1,2,0,"73","AT","105","1",0,0,"2",0,1,0,1,1,0,1,"1.1.1",0,"3","0","1","deu",1,0,1,1,"4",NA,1,1,0,25,1,11,13,0,0,5,"1","2",0.85,1.73460105538811,0.85,NA,NA,NA,0,NA,NA,"3","0","3",1,1,NA,NA,NA,NA,NA,NA,0,0,"Old 1",0,1,0,0,0.94,2.75153531304195,0.94,NA,NA,NA,0,"Old"
"2462",0,0,1,1.92307692307692,0,13,1,3,0,"73","AT","105","1",0,0,"2",0,1,0,0,1,0,0,"1.2.1",0,"3","0","1","deu",1,0,0,1,"4",NA,0,1,0,25,0,0,13,0,0,6,"1","2",0.84,1.65822807660353,0.84,NA,NA,NA,0,NA,NA,"3","0","3",1,1,NA,NA,NA,NA,NA,NA,0,0,"Old 1",0,1,0,0,0.93,2.58668934409794,0.93,NA,NA,NA,0,"Old"
"2463",0,0,1,1.92307692307692,0,13,1,3,0,"73","AT","105","1",0,0,"2",0,1,0,0,1,0,0,"1.3.1",0,"3","0","1","deu",1,0,0,1,"4",NA,0,1,0,25,0,0,13,0,0,7,"1","2",0.86,1.81528996663825,0.86,NA,NA,NA,0,NA,NA,"3","0","3",1,1,NA,NA,NA,NA,NA,NA,0,0,"Old 1",0,1,0,0,0.94,2.75153531304195,0.94,NA,NA,NA,0,"Old"
"2464",0,0,1,2.21428571428571,0,14,1,3,0,"73","AT","105","1",0,0,"2",0,1,0,0,1,0,0,"1.4.1",0,"3","0","1","deu",1,0,0,1,"4",NA,0,1,0,31,0,0,14,0,0,8,"1","2",0.85,1.73460105538811,0.85,NA,NA,NA,0,NA,NA,"3","0","3",1,1,NA,NA,NA,NA,NA,NA,0,0,"Old 1",0,1,0,0,0.94,2.75153531304195,0.94,NA,NA,NA,0,"Old"
"2465",0,0,1,1,0,4,1,2,0,"73","AT","105","3",0,0,"2",0,1,0,0,1,0,0,"1.1.3",0,"1","0","1","deu",3,0,0,1,"11",NA,0,1,0,4,0,0,4,0,0,278,"1","2",0.86,1.81528996663825,0.86,NA,NA,NA,1,NA,NA,"1","0","3",1,1,NA,NA,NA,NA,NA,NA,0,1,"Old 1",0,1,0,1,0.86,1.81528996663825,0.86,NA,NA,NA,0,"Old"
"2466",0,0,1,1,0,4,1,3,0,"73","AT","105","3",0,0,"2",0,1,0,0,1,0,0,"1.2.3",0,"1","0","1","deu",3,0,0,1,"11",NA,0,1,0,4,0,0,4,0,0,279,"1","2",0.83,1.58562726374038,0.83,NA,NA,NA,1,NA,NA,"1","0","3",1,1,NA,NA,NA,NA,NA,NA,0,1,"Old 1",0,1,0,1,0.83,1.58562726374038,0.83,NA,NA,NA,0,"Old"
"2467",0,0,1,1,0,4,1,3,0,"73","AT","105","3",0,0,"2",0,1,0,0,1,0,0,"1.3.3",0,"1","0","1","deu",3,0,0,1,"11",NA,0,1,0,4,0,0,4,0,0,280,"1","2",0.88,1.99243016469021,0.88,NA,NA,NA,1,NA,NA,"1","0","3",1,1,NA,NA,NA,NA,NA,NA,0,1,"Old 1",0,1,0,1,0.86,1.81528996663825,0.86,NA,NA,NA,0,"Old"
"2468",0,0,1,1.83333333333333,0,6,1,3,0,"73","AT","105","3",0,0,"2",0,1,0,0,1,0,0,"1.4.3",0,"1","0","1","deu",3,0,0,1,"11",NA,0,1,0,11,0,0,6,0,0,281,"1","2",0.86,1.81528996663825,0.86,NA,NA,NA,1,NA,NA,"1","0","3",1,1,NA,NA,NA,NA,NA,NA,0,1,"Old 1",0,1,0,1,0.87,1.90095876119305,0.87,NA,NA,NA,0,"Old"
"2469",0,1,1,1.75,10,8,1,2,0,"73","AT","105","3",0,1,"2",0,1,1,1,1,0,1,"1.1.2",0,"2","0","1","deu",2,1,4,1,"100",NA,4,1,0,14,1,21,8,0,0,83,"1","2",0.92,2.44234703536921,0.92,NA,NA,NA,1,NA,NA,"1","3","2",1,1,NA,NA,NA,NA,NA,NA,0,0,"Old 1",0,1,0,0,0.95,2.94443897916644,0.95,NA,NA,NA,0,"Old"
"2470",0,0,1,1,0,1,1,3,0,"73","AT","105","3",0,1,"2",0,1,0,0,1,0,0,"1.2.2",0,"2","0","1","deu",2,0,0,1,"100",NA,0,1,0,1,0,0,1,0,0,84,"0","2",0.87,1.90095876119305,0.87,NA,NA,NA,1,NA,NA,"1","3","2",1,1,NA,NA,NA,NA,NA,NA,0,0,"Old 1",0,1,0,0,0.94,2.75153531304195,0.94,NA,NA,NA,0,"Old"
