"coder"	"question_id"	"item_admin"	"item_name"	"language"	"country"	"study"	"domain"	"natpoldomain"	"dom_european"	"intpoldomain"	"dom_family"	"dom_personal"	"dom_work"	"dom_consumer"	"dom_leisure"	"dom_health"	"dom_backgrou"	"dom_other"	"concept"	"conc_simple"	"conc_complex"	"socdesir"	"centrality"	"ref_period"	"form_basic"	"used_WH_word"	"WH_word"	"questiontype"	"gradation"	"balance"	"encourage"	"subjectiveop"	"opinionother"	"stimulus"	"absolute"	"scale_basic"	"ncategories"	"labels"	"labels_gramm"	"labels_order"	"scale_corres"	"scale_max"	"scale_trange"	"scale_urange"	"symmetry"	"scal_neutral"	"fixrefpoints"	"nfrequencies"	"dont_know"	"instr_interv"	"instr_respon"	"motivation"	"knowledge"	"intropresent"	"nsents_intro"	"nwords_intro"	"numsub_intro"	"intr_request"	"nsents_quest"	"nwords_quest"	"nnouns_quest"	"nabst_quest"	"nsyll_quest"	"nsub_quest"	"nnouns_ans"	"nwords_ans"	"nsyll_ans"	"nabst_ans"	"usedshowcard"	"showc_horiz"	"showc_over"	"showc_letter"	"showc_boxes"	"showc_start"	"showc_quest"	"showc_pict"	"highest_num"	"num_isents"	"question"	"battery"
"irmtraud"	1	"A1"	"TVTOT"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	9	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	8	3	0	1	1	"."	0	0	0	1	7	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	12	3	2	23	0	13	52	67	13	1	0	1	1	0	1	1	0	"."	"."	0	0
"irmtraud"	2	"A3"	"RDTOT"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	8	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	8	3	0	1	1	"."	0	0	0	1	7	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	11	3	3	21	0	13	52	66	13	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	3	"A5"	"NWSPTOT"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	7	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	8	3	0	1	1	"."	0	0	0	1	7	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	15	4	3	28	0	13	52	66	13	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	4	"A8"	"PPLTRST"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	1	0	"."	3	1	0	0	1	0	0	0	0	11	2	1	1	2	"."	1	1	1	1	1	"."	2	0	0	0	"."	0	"."	"."	"."	"."	2	56	6	2	86	5	1	12	19	0	1	1	1	1	0	1	1	0	"."	"."	0	0
"irmtraud"	5	"A9"	"PPLFAIR"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	1	0	"."	3	1	0	0	1	0	0	0	0	11	2	1	1	2	"."	1	1	1	1	1	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	24	2	1	40	3	3	17	32	1	1	1	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	6	"A10"	"PPLHLP"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	1	0	"."	3	1	0	0	1	1	0	0	0	11	2	1	1	2	"."	1	1	1	1	1	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	25	4	3	39	2	3	17	29	1	1	1	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	7	"B2"	"POLCMPL"	"deu"	"AT"	"ESS Round 1"	1	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	5	3	0	1	2	"."	0	0	0	1	1	"."	1	0	0	0	"."	0	"."	"."	"."	"."	1	18	1	1	30	2	0	6	11	0	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	8	"B3"	"POLACTIV"	"deu"	"AT"	"ESS Round 1"	1	10	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	8	"."	1	2	1	1	0	"."	3	1	0	0	1	0	0	0	0	5	3	0	1	2	"."	0	0	0	1	3	"."	1	0	0	0	"."	0	"."	"."	"."	"."	1	13	2	2	25	1	0	11	20	0	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	9	"B4"	"POLDCS"	"deu"	"AT"	"ESS Round 1"	1	10	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	3	"."	1	2	2	2	1	10	1	1	0	0	1	0	0	0	0	5	3	0	1	2	"."	1	1	1	1	1	"."	1	0	0	0	"."	0	"."	"."	"."	"."	1	16	2	2	26	1	0	10	13	0	1	0	1	1	0	1	1	0	"."	"."	"."	1
"irmtraud"	10	"B7"	"TRSTPRL"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	1	0	"."	1	1	0	0	1	0	1	0	0	11	2	0	1	1	"."	1	0	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	2	43	4	3	81	2	2	5	13	2	1	1	1	1	0	0	0	0	"."	"."	"."	1
