"","study","method","interviewer","computer.assisted","item_name","repetition","concept","domain","past","future","centrality","socdesir","visual","questiontype","motivation","opinionother","gradation","instr_respon","instr_interv","intropresent","intr_request","numsub_intro","nwords_intro","avgwrd_intro","nnouns_intro","nabst_intro","avgabs_intro","nwords_total","avgwrd_total","nsub_quest","nsyll_total","avgsy_total","nnouns_total","nabst_total","avgabs_total","used_WH_word","form_basic","stimulus","absolute","balance","encourage","subjectiveop","knowledge","dont_know","scale_basic","ncategories","labels","labels_gramm","scal_neutral","range.correspondence","scale_urange","scale_trange","scale_corres","symmetry","labels_order","fixrefpoints","position","usedshowcard","country","language","rel","val"
"1","Old 1",1,1,0,"1.1.1",0,"73",105,0,0,2,0,0,1,0,0,1,1,0,1,0,1,11,11,1,1,1,13,13,0,25,1.92307692307692,1,1,1,0,"2",0,0,1,0,0,0,"1","0",4,"3","0","3",2,1,1,3,1,1,0,5,0,"AT","deu",0.85,0.94
"2","Old 1",1,1,0,"1.2.1",0,"73",105,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,25,1.92307692307692,1,1,1,0,"2",0,0,1,0,0,0,"1","0",4,"3","0","3",2,1,1,3,1,1,0,6,0,"AT","deu",0.84,0.93
"3","Old 1",1,1,0,"1.3.1",0,"73",105,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,25,1.92307692307692,1,1,1,0,"2",0,0,1,0,0,0,"1","0",4,"3","0","3",2,1,1,3,1,1,0,7,0,"AT","deu",0.86,0.94
"4","Old 1",1,1,0,"1.4.1",0,"73",105,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,31,2.21428571428571,1,1,1,0,"2",0,0,1,0,0,0,"1","0",4,"3","0","3",2,1,1,3,1,1,0,8,0,"AT","deu",0.85,0.94
"5","Old 1",3,1,0,"1.1.3",1,"73",105,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,4,1,1,1,1,0,"2",1,0,1,0,0,0,"3","0",11,"1","0","1",2,1,1,3,1,1,0,278,1,"AT","deu",0.86,0.86
"6","Old 1",3,1,0,"1.2.3",1,"73",105,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,4,1,1,1,1,0,"2",1,0,1,0,0,0,"3","0",11,"1","0","1",2,1,1,3,1,1,0,279,1,"AT","deu",0.83,0.83
"7","Old 1",3,1,0,"1.3.3",1,"73",105,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,4,1,1,1,1,0,"2",1,0,1,0,0,0,"3","0",11,"1","0","1",2,1,1,3,1,1,0,280,1,"AT","deu",0.88,0.86
"8","Old 1",3,1,0,"1.4.3",1,"73",105,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,11,1.83333333333333,1,1,1,0,"2",1,0,1,0,0,0,"3","0",11,"1","0","1",2,1,1,3,1,1,0,281,1,"AT","deu",0.86,0.87
"9","Old 1",2,1,0,"1.1.2",1,"73",105,0,0,2,0,0,1,1,0,1,1,1,1,0,1,21,10,4,4,1,8,8,0,14,1.75,1,1,1,0,"2",0,0,1,0,0,0,"3","3",100,"2","0","1",2,1,1,2,1,1,1,83,0,"AT","deu",0.92,0.95
"10","Old 1",2,1,0,"1.2.2",1,"73",105,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,"2",0,0,1,0,0,0,"3","3",100,"2","0","1",2,1,1,2,1,1,1,84,0,"AT","deu",0.87,0.94
